date,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021-03-01,US,United States of America,AMRO,69545,28363488,1691,515214
2021-03-02,US,United States of America,AMRO,50194,28413682,898,516112
2021-03-03,US,United States of America,AMRO,51100,28464782,1309,517421
2021-03-04,US,United States of America,AMRO,55363,28520145,1873,519294
2021-03-05,US,United States of America,AMRO,64273,28584418,1612,520906
2021-03-06,US,United States of America,AMRO,65806,28650224,1551,522457
2021-03-07,US,United States of America,AMRO,65637,28715861,2000,524457
2021-03-08,US,United States of America,AMRO,57906,28773767,1478,525935
2021-03-09,US,United States of America,AMRO,42111,28815878,876,526811
2021-03-10,US,United States of America,AMRO,43161,28859039,928,527739
2021-03-11,US,United States of America,AMRO,53809,28912848,1369,529108
2021-03-12,US,United States of America,AMRO,60869,28973717,1347,530455
2021-03-13,US,United States of America,AMRO,60308,29034025,1324,531779
2021-03-14,US,United States of America,AMRO,62503,29096528,1222,533001
2021-03-15,US,United States of America,AMRO,52686,29149214,946,533947
2021-03-16,US,United States of America,AMRO,42393,29191607,588,534535
2021-03-17,US,United States of America,AMRO,45186,29236793,735,535270
2021-03-18,US,United States of America,AMRO,52164,29288957,939,536209
2021-03-19,US,United States of America,AMRO,57808,29346765,1004,537213
2021-03-20,US,United States of America,AMRO,58402,29405167,1343,538556
2021-03-21,US,United States of America,AMRO,61405,29466572,1359,539915
2021-03-22,US,United States of America,AMRO,60643,29527215,712,540627
2021-03-23,US,United States of America,AMRO,39024,29566239,451,541078
2021-03-24,US,United States of America,AMRO,55399,29621638,957,542035
2021-03-25,US,United States of America,AMRO,59983,29681621,729,542764
2021-03-26,US,United States of America,AMRO,65751,29747372,1091,543855
2021-03-27,US,United States of America,AMRO,67796,29815168,1237,545092
2021-03-28,US,United States of America,AMRO,71388,29886556,1170,546262
2021-03-29,US,United States of America,AMRO,63131,29949687,775,547037
2021-03-30,US,United States of America,AMRO,47266,29996953,516,547553
2021-03-31,US,United States of America,AMRO,61844,30058797,626,548179
2021-04-01,US,United States of America,AMRO,62561,30121358,763,548942
2021-04-02,US,United States of America,AMRO,69552,30190910,915,549857
2021-04-03,US,United States of America,AMRO,74707,30265617,815,550672
2021-04-04,US,United States of America,AMRO,64869,30330486,780,551452
